"","Anne Arundel County, Maryland","Baltimore County, Maryland","Frederick County, Maryland","Howard County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland"
"Employment.Status.for.the.Population.16.Years.and.Over...Total..",422397,647813,179664,219312,756143,676370
"Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..",299103,440836,130381,160961,552551,500885
"Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..",289334,439627,129530,159811,548454,497423
"Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Employed.",271913,409569,122367,152515,516957,453409
"Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Civilian.labor.force..Unemployed.",17421,30058,7163,7296,31497,44014
"Employment.Status.for.the.Population.16.Years.and.Over...In.labor.force..Armed.Forces.",9769,1209,851,1150,4097,3462
"Employment.Status.for.the.Population.16.Years.and.Over...Not.in.labor.force.",123294,206977,49283,58351,203592,175485
