"","Anne Arundel County, Maryland","Baltimore County, Maryland","Frederick County, Maryland","Howard County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland"
"Tenure...Total..",199904,313912,86337,106142,360563,303441
"Tenure...Owner.occupied.",148360,208904,65037,78490,242592,189759
"Tenure...Renter.occupied.",51544,105008,21300,27652,117971,113682
