"year","Measures","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2010","Median.Value..Dollars..for.Owner.Occupied.Housing.Units..Median.value..dollars.",370100,269900,349500,456200,482900,327600
"2011","Median.Value..Dollars..for.Owner.Occupied.Housing.Units...Median.value..dollars..",361700,269400,335600,447000,469900,312800
"2012","Median.Value..Dollars..for.Owner.Occupied.Housing.Units..Median.value..dollars.",349800,263900,316800,435300,455800,289400
"2013","Median.Value..Dollars..for.Owner.Occupied.Housing.Units...Median.value..dollars..",340000,253300,307000,428100,446300,269800
