"","Anne Arundel County, Maryland","Baltimore County, Maryland","Frederick County, Maryland","Howard County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland"
"Tenure..Total.",198761,314823,85559,104905,357579,302683
"Tenure..Owner.occupied",147829,209260,64670,77803,243751,191829
"Tenure..Renter.occupied",50932,105563,20889,27102,113828,110854
