"","Anne Arundel County, Maryland","Baltimore County, Maryland","Frederick County, Maryland","Howard County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland"
"Tenure...Total..",197348,315127,85048,103547,355434,302091
"Tenure...Owner.occupied.",147837,210981,64588,76862,244497,193551
"Tenure...Renter.occupied.",49511,104146,20460,26685,110937,108540
