"","Anne Arundel County, Maryland","Baltimore County, Maryland","Frederick County, Maryland","Howard County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland"
"Tenure..Total.",195999,315542,83455,102271,353177,301906
"Tenure..Owner.occupied",148426,211526,64112,76443,244815,194047
"Tenure..Renter.occupied",47573,104016,19343,25828,108362,107859
